Step,Intermediate (Substrate),Enzyme,EC,Gene,Product,Compound,Other Pathway Connections/Alternatives,aux_availible,shared_enzyme,shared_compound,pathway,step_in_pathway,shared_enzyme_amount,shared_compound_amount,shared_ec_list,shared_ec_count,shared_compound_list,shared_compound_count,
H5a,"For IGP formation, a glutaminase activity is required: IGP + glutamine",Glutaminase subunit of IGPS,4.3.2.10,hisH,Ammonia,C00080,Provides ammonia for the next reaction.,TRUE,[],[],H,5a,0,0,"['R04558', 'R04558', 'R04558', 'R00256', 'R00256', 'R04558']",6,"['R01899', 'R01061', 'R00209', 'R01528', 'R02736', 'R02555', 'R03191', 'R01183', 'R01388', 'R00465', 'R00705', 'R00919', 'R00713', 'R00093', 'R01513', 'R02291', 'R01773', 'R00178', 'R04198', 'R01933', 'R04444', 'R03291', 'R01248', 'R01163', 'R02413', 'R00688', 'R01728', 'R04880', 'R02678', 'R04903', 'R03313', 'R03443', 'R05050', 'R02196', 'R04426', 'R01088', 'R04737', 'R04741', 'R04743', 'R04745', 'R04748', 'R01171', 'R01975', 'R04969', 'R04543', 'R04966', 'R04566', 'R04724', 'R04964', 'R04961', 'R04958', 'R04536', 'R04955', 'R04953', 'R04429', 'R04533', 'R01361', 'R05688', 'R00342', 'R00604', 'R00134', 'R01130', 'R01768', 'R02103', 'R05233', 'R05234', 'R05286', 'R06941', 'R03458', 'R01724', 'R02472', 'R00936', 'R02235', 'R00941', 'R01655', 'R02301', 'R02124', 'R03947', 'R04109', 'R02957', 'R00342', 'R08549', 'R00267', 'R01655', 'R00710', 'R00746', 'R01739', 'R01520', 'R00875', 'R00935', 'R05705', 'R00994', 'R03012', 'R10122', 'R10120', 'R10116', 'R10118', 'R02133', 'R02295', 'R01986', 'R01221', 'R11765', 'R02964', 'R03816', 'R01542', 'R00264', 'R00758', 'R09951', 'R09953', 'R02260', 'R02527', 'R06180', 'R03869', 'R00215', 'R06983', 'R07136', 'R10092', 'R09513', 'R01134', 'R01465', 'R03104', 'R02401', 'R00245', 'R00558', 'R00111', 'R04065', 'R02698', 'R03299', 'R00904', 'R00115', 'R07618', 'R02777', 'R10917', 'R05305', 'R02767', 'R10519', 'R03283', 'R07763', 'R07765', 'R03815', 'R00342', 'R01899', 'R00209', 'R00703', 'R00710', 'R00746', 'R01061', 'R02736', 'R01528', 'R00688', 'R01728', 'R02291', 'R04198', 'R05688', 'R01130', 'R01773', 'R02413', 'R01248', 'R03443', 'R00093', 'R04109', 'R03947', 'R04440', 'R04426', 'R01088', 'R05068', 'R02196', 'R01505', 'R03012', 'R01163', 'R02472', 'R01392', 'R01221', 'R02964', 'R03816', 'R03313', 'R00842', 'R03458', 'R10917', 'R01183', 'R02777', 'R10519', 'R01513', 'R01933', 'R01171', 'R05679', 'R02946', 'R10504', 'R00178', 'R01061', 'R00209', 'R01899', 'R00267', 'R08549', 'R00402', 'R00342', 'R02736', 'R01528', 'R01739', 'R00703', 'R00710', 'R00746', 'R01520', 'R05305', 'R01975', 'R00465', 'R05234', 'R05233', 'R06917', 'R05699', 'R06941', 'R00604', 'R01224', 'R01513', 'R06983', 'R06927', 'R05286', 'R01773', 'R02291', 'R04198', 'R02103', 'R00713', 'R02698', 'R00342', 'R00342', 'R01655', 'R01183', 'R09953', 'R09951', 'R01171', 'R04109', 'R00134', 'R00243', 'R02401', 'R01061', 'R02736', 'R01528', 'R00209', 'R00342', 'R00267', 'R01975', 'R01513', 'R01655', 'R01221', 'R00604', 'R00519', 'R08549', 'R00214', 'R00705', 'R01899', 'R00709', 'R02291', 'R03443', 'R00994', 'R04440', 'R10052', 'R05068', 'R04426', 'R08549', 'R01933', 'R01651', 'R01210', 'R00209', 'R03171', 'R04533', 'R04429', 'R04953', 'R04955', 'R04958', 'R04536', 'R04961', 'R04724', 'R04964', 'R04966', 'R04566', 'R04969', 'R04543', 'R07763', 'R07765', 'R04737', 'R04741', 'R04743', 'R04745', 'R04748', 'R01975', 'R01061', 'R00994', 'R10052', 'R01513', 'R01773', 'R02291', 'R00267', 'R03443', 'R03313', 'R01248', 'R04198', 'R00114', 'R02413', 'R01728', 'R01130', 'R01134', 'R03192', 'R02777', 'R03458', 'R01724', 'R02472', 'R00936', 'R02235', 'R01655', 'R04109', 'R03947', 'R02964', 'R03816', 'R10116', 'R10118', 'R10120', 'R10122', 'R07618', 'R02133', 'R00904', 'R02698', 'R06917', 'R06927', 'R00794', 'R00710', 'R00746', 'R00754', 'R00703', 'R01061', 'R07618', 'R01061', 'R07618', 'R01899', 'R00342', 'R07618', 'R01528', 'R02736', 'R01520', 'R01739', 'R10221', 'R02736', 'R01542', 'R02555', 'R01896', 'R11768', 'R00875', 'R00758', 'R02957', 'R03191', 'R02777', 'R02260', 'R00214', 'R00342', 'R00703', 'R00710', 'R02527', 'R07618', 'R00754', 'R00746', 'R00465', 'R00519', 'R01388', 'R01392', 'R02545', 'R00342', 'R06180', 'R01221', 'R00935', 'R00705', 'R01000', 'R02260', 'R07618', 'R00919', 'R01361', 'R01976', 'R01975', 'R00713', 'R00215', 'R02946', 'R02855', 'R00714', 'R10504', 'R00994', 'R01183', 'R00705', 'R09951', 'R09953', 'R09954', 'R09954', 'R00342', 'R00342', 'R01061', 'R01061', 'R00342', 'R00267', 'R01655', 'R00604', 'R00519', 'R01513', 'R00342', 'R06983', 'R10092', 'R00114', 'R00243', 'R04430', 'R07765', 'R04970', 'R04967', 'R04725', 'R04962', 'R04959', 'R04956', 'R07763', 'R04969', 'R04543', 'R04966', 'R04566', 'R04724', 'R04964', 'R04961', 'R04958', 'R04536', 'R04955', 'R04953', 'R04429', 'R04533', 'R02767', 'R01403', 'R01404', 'R02767', 'R01404', 'R01975', 'R04748', 'R04745', 'R04743', 'R04741', 'R00623', 'R00631', 'R04737', 'R01752', 'R01041', 'R00842', 'R05679', 'R01134', 'R01130', 'R01768', 'R02103', 'R01869', 'R00396', 'R00713', 'R00114', 'R00243', 'R00707', 'R00714', 'R01513', 'R01465', 'R02291', 'R01773', 'R01388', 'R03815', 'R08557', 'R00178', 'R03104', 'R01773', 'R02291', 'R07136', 'R01513', 'R07618', 'R07618', 'R07618', 'R01088', 'R03869', 'R00922', 'R00994', 'R05068', 'R04426', 'R04440', 'R01088', 'R01434', 'R02196', 'R02291', 'R01773', 'R04198', 'R07618', 'R02401', 'R03283', 'R00243', 'R03443', 'R00178', 'R01986', 'R05050', 'R03291', 'R01248', 'R05051', 'R04444', 'R00245', 'R03313', 'R04065', 'R01163', 'R03012', 'R04880', 'R02698', 'R03299', 'R00713', 'R06941', 'R01933', 'R02678', 'R04903', 'R01728', 'R02413', 'R00705', 'R00904', 'R00396', 'R00243', 'R02736', 'R00267', 'R01528', 'R03191', 'R02133', 'R03458', 'R05706', 'R05705', 'R02295', 'R01724', 'R10633', 'R00714', 'R00713', 'R02472', 'R04439', 'R00904', 'R10116', 'R10118', 'R10122', 'R10120', 'R07618', 'R07618', 'R07618', 'R07618', 'R03815', 'R00936', 'R02235', 'R11765', 'R02235', 'R00936', 'R01655', 'R02301', 'R07168', 'R02235', 'R00936', 'R01655', 'R01221', 'R08557', 'R07168', 'R03947', 'R04109', 'R02964', 'R03816', 'R05688', 'R02777', 'R01505', 'R03313', 'R04198', 'R02777', 'R01183', 'R01728', 'R10519', 'R10917', 'R05305', 'R01976', 'R05699', 'R05233', 'R05234', 'R00604', 'R05286', 'R06917', 'R06927']",576,Bs
H5b,IGP + NH₃,Cyclase subunit of IGPS,4.1.1.3,hisF,Imidazole Acetol Phosphate,C01267,hisH and hisF function as a complex.,TRUE,[],[],H,5b,0,0,[],0,"['R03457', 'R03243', 'R03457', 'R03243', 'R03457', 'R03243', 'R03243', 'R03457']",8,Bs
H6,Imidazole Acetol Phosphate + L‑Glutamate,Imidazole Acetol Phosphate Aminotransferase,2.6.1.9,hisC,Histidinol‑Phosphate,C01100,Transfers an amino group (glutamate → α‑ketoglutarate).,TRUE,[],[],H,6,0,0,"['R03243', 'R00734', 'R03243', 'R03243', 'R03243', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",15,"['R03243', 'R03013', 'R03243', 'R03013', 'R03243', 'R03013', 'R03013', 'R03243']",8,Bs
H7,Histidinol‑Phosphate,Histidinol‑Phosphate Phosphatase,3.1.3.15,hisJ,Histidinol,C00860,–,TRUE,[],[],H,7,0,0,"['R03013', 'R03013', 'R03013', 'R03013']",4,"['R03013', 'R03012', 'R03013', 'R03012', 'R03013', 'R01158', 'R03012', 'R03013']",8,Bs
H8,Histidinol,Histidinol Dehydrogenase,1.1.1.23,hisD,L‑Histidine,C00135,Final oxidation step using NAD⁺.,TRUE,[],[],H,8,0,0,"['R01163', 'R03012', 'R03012', 'R01163', 'R01158', 'R01163', 'R03012']",7,"['R01163', 'R01168', 'R01163', 'R01158', 'R01168', 'R01163', 'R03655']",7,Bs
F0,Pyruvate,PEP Synthase,2.7.9.2,ppsA,Phosphoenolpyruvate (PEP),C00074,PEP is used in glycolysis and gluconeogenesis.,FALSE,"['Y0', 'W0']","['Y0', 'W0']",F,0,2,2,"['R00199', 'R00199', 'R00199']",3,"['R00658', 'R00199', 'R00660', 'R00341', 'R01826', 'R03460', 'R00345', 'R03254', 'R00341', 'R01804', 'R00199', 'R00658', 'R00341', 'R01826', 'R03460', 'R00658', 'R00199', 'R00341', 'R00345', 'R00345', 'R00341', 'R00658', 'R00200', 'R00199', 'R00345', 'R00341', 'R00658', 'R00200', 'R01826', 'R03460', 'R00660', 'R03254', 'R00200', 'R00658', 'R00341', 'R00199', 'R00341', 'R00660', 'R00345', 'R00341', 'R00199', 'R00200', 'R00345', 'R00345', 'R00341', 'R00199', 'R00345', 'R00199', 'R00658', 'R00345', 'R01012', 'R03460', 'R01826', 'R03254', 'R00660']",55,Ec
F1,PEP + Erythrose‑4‑phosphate,DAHP Synthase,2.5.1.54,aroF,3‑Deoxy‑D‑arabino‑heptulosonate 7‑phosphate (DAHP),C04691,(Feedback‑inhibited by phenylalanine.),TRUE,"['Y1', 'W1']","['Y1', 'W1']",F,1,2,2,"['R01826', 'R01826', 'R01826', 'R01826']",4,"['R01826', 'R03083', 'R01826', 'R03083', 'R01826', 'R03083', 'R03083', 'R01826']",8,Ec
F2,DAHP,Dehydroquinate Synthase,4.2.3.4,aroB,3‑Dehydroquinate,C00944,–,TRUE,"['Y2', 'W2']","['Y2', 'W2']",F,2,2,2,"['R03083', 'R03083', 'R03083', 'R03083']",4,"['R03083', 'R03084', 'R01872', 'R03083', 'R03084', 'R03083', 'R03084', 'R01872', 'R03084', 'R03083']",10,Ec
F3,3‑Dehydroquinate,Dehydroquinate Dehydratase,4.2.1.10,aroD,3‑Dehydroshikimate,C02637,–,TRUE,"['Y3', 'W3']","['Y3', 'W3']",F,3,2,2,"['R03084', 'R03084', 'R03084', 'R03084']",4,"['R03084', 'R02413', 'R03084', 'R02413', 'R03084', 'R02413', 'R02413', 'R02413', 'R03084', 'R12885']",10,Ec
F4,3‑Dehydroshikimate,Shikimate Dehydrogenase,1.1.1.25,aroE,Shikimate,C00493,–,TRUE,"['Y4', 'W4']","['Y4', 'W4']",F,4,2,2,"['R02413', 'R02413', 'R02413', 'R02413', 'R12885']",5,"['R02413', 'R02412', 'R02412', 'R02413', 'R02413', 'R02412', 'R02413', 'R02412', 'R02413']",9,Ec
F5,Shikimate,Shikimate Kinase,2.7.1.71,aroK,Shikimate‑3‑phosphate,C03175,(AroL is an isoenzyme.),TRUE,"['Y5', 'W5']","['Y5', 'W5']",F,5,2,2,"['R02412', 'R02412', 'R02412', 'R02412']",4,"['R02412', 'R03460', 'R02412', 'R03460', 'R02412', 'R03460', 'R03460', 'R02412']",8,Ec
F6,Shikimate‑3‑phosphate + PEP,EPSP Synthase,2.5.1.19,aroA,5‑Enolpyruvylshikimate‑3‑phosphate (EPSP),C01269,EPSP now uses user‑provided ID C01269.,TRUE,"['Y6', 'W6']","['Y6', 'W6']",F,6,2,2,"['R03460', 'R03460', 'R03460', 'R03460']",4,"['R03460', 'R01714', 'R03460', 'R01714', 'R03460', 'R01714', 'R01714', 'R03460']",8,Ec
F7,EPSP,Chorismate Synthase,4.2.3.5,aroC,Chorismate,C00251,Chorismate is the branch point for aromatic amino acids.,TRUE,"['Y7', 'W7']","['Y7', 'W7']",F,7,2,2,"['R01714', 'R01714', 'R01714', 'R01714']",4,"['R01714', 'R00985', 'R01715', 'R01717', 'R01302', 'R01714', 'R01715', 'R00985', 'R01302', 'R01717', 'R01714', 'R01715', 'R00985', 'R01716', 'R01717', 'R01302', 'R01714', 'R00985', 'R01715', 'R01716', 'R01302', 'R01717', 'R01717']",23,Ec
F8,Chorismate,Chorismate Mutase,5.4.99.5,pheA,Prephenate,C00254,–,TRUE,['Y8'],['Y8'],F,8,1,1,"['R01715', 'R01715', 'R01715', 'R01715']",4,"['R01715', 'R01373', 'R01728', 'R01731', 'R01715', 'R01373', 'R01728', 'R01731', 'R01715', 'R01728', 'R01373', 'R01731', 'R01715', 'R01373', 'R01731', 'R01728', 'R13439', 'R13440', 'R13441', 'R01728']",20,Ec
F9,Prephenate,Prephenate Dehydratase,4.2.1.51,pheA,Phenylpyruvate,C00166,–,TRUE,[],[],F,9,0,0,"['R01373', 'R00691', 'R01373', 'R00691', 'R01373', 'R01373', 'R00691']",7,"['R01373', 'R00688', 'R01374', 'R01370', 'R01373', 'R00688', 'R01373', 'R00694', 'R01370', 'R00694', 'R00694', 'R00694', 'R01374', 'R01373', 'R00694', 'R00694', 'R00694', 'R01374', 'R13439', 'R13440', 'R13441']",21,Ec
F10,Phenylpyruvate,Aminotransferase,2.6.1.57,tyrB,L‑Phenylalanine,C00079,Typically uses glutamate as the amino donor.,TRUE,['Y10'],[],F,10,1,0,"['R00734', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",11,"['R00688', 'R00698', 'R00693', 'R00691', 'R00688', 'R00691', 'R00694', 'R00694', 'R00694', 'R00694', 'R00693', 'R00698', 'R00694', 'R00691', 'R00694', 'R00694', 'R03660']",17,Ec
Y0,Pyruvate,PEP Synthase,2.7.9.2,ppsA,Phosphoenolpyruvate (PEP),C00074,PEP is used in glycolysis and gluconeogenesis.,FALSE,"['F0', 'W0']","['F0', 'W0']",Y,0,2,2,"['R00199', 'R00199', 'R00199']",3,"['R00658', 'R00199', 'R00660', 'R00341', 'R01826', 'R03460', 'R00345', 'R03254', 'R00341', 'R01804', 'R00199', 'R00658', 'R00341', 'R01826', 'R03460', 'R00658', 'R00199', 'R00341', 'R00345', 'R00345', 'R00341', 'R00658', 'R00200', 'R00199', 'R00345', 'R00341', 'R00658', 'R00200', 'R01826', 'R03460', 'R00660', 'R03254', 'R00200', 'R00658', 'R00341', 'R00199', 'R00341', 'R00660', 'R00345', 'R00341', 'R00199', 'R00200', 'R00345', 'R00345', 'R00341', 'R00199', 'R00345', 'R00199', 'R00658', 'R00345', 'R01012', 'R03460', 'R01826', 'R03254', 'R00660']",55,Ec
Y1,PEP + Erythrose‑4‑phosphate,DAHP Synthase,2.5.1.54,aroF,3‑Deoxy‑D‑arabino‑heptulosonate 7‑phosphate (DAHP),C04691,(Feedback‑inhibited by phenylalanine.),TRUE,"['F1', 'W1']","['F1', 'W1']",Y,1,2,2,"['R01826', 'R01826', 'R01826', 'R01826']",4,"['R01826', 'R03083', 'R01826', 'R03083', 'R01826', 'R03083', 'R03083', 'R01826']",8,Ec
Y2,DAHP,Dehydroquinate Synthase,4.2.3.4,aroB,3‑Dehydroquinate,C00944,–,TRUE,"['F2', 'W2']","['F2', 'W2']",Y,2,2,2,"['R03083', 'R03083', 'R03083', 'R03083']",4,"['R03083', 'R03084', 'R01872', 'R03083', 'R03084', 'R03083', 'R03084', 'R01872', 'R03084', 'R03083']",10,Ec
Y3,3‑Dehydroquinate,Dehydroquinate Dehydratase,4.2.1.10,aroD,3‑Dehydroshikimate,C02637,–,TRUE,"['F3', 'W3']","['F3', 'W3']",Y,3,2,2,"['R03084', 'R03084', 'R03084', 'R03084']",4,"['R03084', 'R02413', 'R03084', 'R02413', 'R03084', 'R02413', 'R02413', 'R02413', 'R03084', 'R12885']",10,Ec
Y4,3‑Dehydroshikimate,Shikimate Dehydrogenase,1.1.1.25,aroE,Shikimate,C00493,–,TRUE,"['F4', 'W4']","['F4', 'W4']",Y,4,2,2,"['R02413', 'R02413', 'R02413', 'R02413', 'R12885']",5,"['R02413', 'R02412', 'R02412', 'R02413', 'R02413', 'R02412', 'R02413', 'R02412', 'R02413']",9,Ec
Y5,Shikimate,Shikimate Kinase,2.7.1.71,aroK,Shikimate‑3‑phosphate,C03175,(AroL is an isoenzyme.),TRUE,"['F5', 'W5']","['F5', 'W5']",Y,5,2,2,"['R02412', 'R02412', 'R02412', 'R02412']",4,"['R02412', 'R03460', 'R02412', 'R03460', 'R02412', 'R03460', 'R03460', 'R02412']",8,Ec
Y6,Shikimate‑3‑phosphate + PEP,EPSP Synthase,2.5.1.19,aroA,5‑Enolpyruvylshikimate‑3‑phosphate (EPSP),C01269,EPSP now uses user‑provided ID C01269.,TRUE,"['F6', 'W6']","['F6', 'W6']",Y,6,2,2,"['R03460', 'R03460', 'R03460', 'R03460']",4,"['R03460', 'R01714', 'R03460', 'R01714', 'R03460', 'R01714', 'R01714', 'R03460']",8,Ec
Y7,EPSP,Chorismate Synthase,4.2.3.5,aroC,Chorismate,C00251,Chorismate is the branch point for aromatic amino acids.,TRUE,"['F7', 'W7']","['F7', 'W7']",Y,7,2,2,"['R01714', 'R01714', 'R01714', 'R01714']",4,"['R01714', 'R00985', 'R01715', 'R01717', 'R01302', 'R01714', 'R01715', 'R00985', 'R01302', 'R01717', 'R01714', 'R01715', 'R00985', 'R01716', 'R01717', 'R01302', 'R01714', 'R00985', 'R01715', 'R01716', 'R01302', 'R01717', 'R01717']",23,Ec
Y8,Chorismate,Chorismate Mutase,5.4.99.5,tyrA,Prephenate,C00254,–,TRUE,['F8'],['F8'],Y,8,1,1,"['R01715', 'R01715', 'R01715', 'R01715']",4,"['R01715', 'R01373', 'R01728', 'R01731', 'R01715', 'R01373', 'R01728', 'R01731', 'R01715', 'R01728', 'R01373', 'R01731', 'R01715', 'R01373', 'R01731', 'R01728', 'R13439', 'R13440', 'R13441', 'R01728']",20,Ec
Y9,Prephenate,Prephenate Dehydrogenase,1.3.1.12,tyrA,4‑Hydroxyphenylpyruvate,C01179,Directs pathway toward tyrosine.,TRUE,[],[],Y,9,0,0,"['R01728', 'R01728', 'R01728', 'R01728', 'R01728']",5,"['R01728', 'R00729', 'R03337', 'R01728', 'R00734', 'R03337', 'R01728', 'R00734', 'R00734', 'R03337', 'R00734', 'R00734', 'R01728', 'R00734', 'R00734', 'R00734', 'R00734', 'R00734', 'R01728', 'R00734']",20,Ec
Y10,4‑Hydroxyphenylpyruvate,Aminotransferase,2.6.1.57,tyrB,L‑Tyrosine,C00082,Typically uses glutamate as amino donor.,TRUE,['F10'],[],Y,10,1,0,"['R00734', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",11,"['R00729', 'R10246', 'R00734', 'R00734', 'R10246', 'R00734', 'R00734', 'R00734', 'R00734', 'R00734', 'R00734', 'R10246', 'R00734', 'R00734', 'R00734', 'R02918']",16,Ec
W0,Pyruvate,PEP Synthase,2.7.9.2,ppsA,Phosphoenolpyruvate (PEP),C00074,PEP is used in glycolysis and gluconeogenesis.,FALSE,"['F0', 'Y0']","['F0', 'Y0']",W,0,2,2,"['R00199', 'R00199', 'R00199']",3,"['R00658', 'R00199', 'R00660', 'R00341', 'R01826', 'R03460', 'R00345', 'R03254', 'R00341', 'R01804', 'R00199', 'R00658', 'R00341', 'R01826', 'R03460', 'R00658', 'R00199', 'R00341', 'R00345', 'R00345', 'R00341', 'R00658', 'R00200', 'R00199', 'R00345', 'R00341', 'R00658', 'R00200', 'R01826', 'R03460', 'R00660', 'R03254', 'R00200', 'R00658', 'R00341', 'R00199', 'R00341', 'R00660', 'R00345', 'R00341', 'R00199', 'R00200', 'R00345', 'R00345', 'R00341', 'R00199', 'R00345', 'R00199', 'R00658', 'R00345', 'R01012', 'R03460', 'R01826', 'R03254', 'R00660']",55,Ec
W1,PEP + Erythrose‑4‑phosphate,DAHP Synthase,2.5.1.54,aroF,3‑Deoxy‑D‑arabino‑heptulosonate 7‑phosphate (DAHP),C04691,(Feedback‑inhibited by phenylalanine.),TRUE,"['F1', 'Y1']","['F1', 'Y1']",W,1,2,2,"['R01826', 'R01826', 'R01826', 'R01826']",4,"['R01826', 'R03083', 'R01826', 'R03083', 'R01826', 'R03083', 'R03083', 'R01826']",8,Ec
W2,DAHP,Dehydroquinate Synthase,4.2.3.4,aroB,3‑Dehydroquinate,C00944,–,TRUE,"['F2', 'Y2']","['F2', 'Y2']",W,2,2,2,"['R03083', 'R03083', 'R03083', 'R03083']",4,"['R03083', 'R03084', 'R01872', 'R03083', 'R03084', 'R03083', 'R03084', 'R01872', 'R03084', 'R03083']",10,Ec
W3,3‑Dehydroquinate,Dehydroquinate Dehydratase,4.2.1.10,aroD,3‑Dehydroshikimate,C02637,–,TRUE,"['F3', 'Y3']","['F3', 'Y3']",W,3,2,2,"['R03084', 'R03084', 'R03084', 'R03084']",4,"['R03084', 'R02413', 'R03084', 'R02413', 'R03084', 'R02413', 'R02413', 'R02413', 'R03084', 'R12885']",10,Ec
W4,3‑Dehydroshikimate,Shikimate Dehydrogenase,1.1.1.25,aroE,Shikimate,C00493,–,TRUE,"['F4', 'Y4']","['F4', 'Y4']",W,4,2,2,"['R02413', 'R02413', 'R02413', 'R02413', 'R12885']",5,"['R02413', 'R02412', 'R02412', 'R02413', 'R02413', 'R02412', 'R02413', 'R02412', 'R02413']",9,Ec
W5,Shikimate,Shikimate Kinase,2.7.1.71,aroK,Shikimate‑3‑phosphate,C03175,(AroL is an isoenzyme.),TRUE,"['F5', 'Y5']","['F5', 'Y5']",W,5,2,2,"['R02412', 'R02412', 'R02412', 'R02412']",4,"['R02412', 'R03460', 'R02412', 'R03460', 'R02412', 'R03460', 'R03460', 'R02412']",8,Ec
W6,Shikimate‑3‑phosphate + PEP,EPSP Synthase,2.5.1.19,aroA,5‑Enolpyruvylshikimate‑3‑phosphate (EPSP),C01269,EPSP now uses user‑provided ID C01269.,TRUE,"['F6', 'Y6']","['F6', 'Y6']",W,6,2,2,"['R03460', 'R03460', 'R03460', 'R03460']",4,"['R03460', 'R01714', 'R03460', 'R01714', 'R03460', 'R01714', 'R01714', 'R03460']",8,Ec
W7,EPSP,Chorismate Synthase,4.2.3.5,aroC,Chorismate,C00251,Chorismate is the branch point for aromatic amino acids.,TRUE,"['F7', 'Y7']","['F7', 'Y7']",W,7,2,2,"['R01714', 'R01714', 'R01714', 'R01714']",4,"['R01714', 'R00985', 'R01715', 'R01717', 'R01302', 'R01714', 'R01715', 'R00985', 'R01302', 'R01717', 'R01714', 'R01715', 'R00985', 'R01716', 'R01717', 'R01302', 'R01714', 'R00985', 'R01715', 'R01716', 'R01302', 'R01717', 'R01717']",23,Ec
W8,Chorismate,Anthranilate Synthase,4.1.3.27,trpE + trpG,Anthranilate,C00108,Uses glutamine as amino donor.,FALSE,[],[],W,8,0,0,"['R00985', 'R00985', 'R00985', 'R00985']",4,"['R00985', 'R01073', 'R00985', 'R01073', 'R00985', 'R01073', 'R01073', 'R00985']",8,Ec
W9,Anthranilate,Anthranilate Phosphoribosyltransferase,2.4.2.18,trpD,N-(5′‑Phosphoribosyl)anthranilate,C04302,Requires PRPP from the PPP.,TRUE,[],[],W,9,0,0,"['R01073', 'R01073', 'R01073', 'R01073']",4,"['R01073', 'R03509', 'R01073', 'R03509', 'R01073', 'R03509', 'R03509', 'R01073']",8,Ec
W10,N-(5′‑Phosphoribosyl)anthranilate,Phosphoribosyl Anthranilate Isomerase,5.3.1.24,trpC,Carboxyphenylamino deoxyribulose phosphate,C01302,–,TRUE,[],[],W,10,0,0,"['R03509', 'R03509', 'R03509', 'R03509']",4,"['R03509', 'R03508', 'R03509', 'R03508', 'R03509', 'R03508', 'R03508', 'R03509']",8,Ec
W11,Carboxyphenylamino deoxyribulose phosphate,Indole‑3‑Glycerol Phosphate Synthase,4.1.1.48,trpC,Indole‑3‑glycerol phosphate,C03506,–,TRUE,[],[],W,11,0,0,"['R03508', 'R03508', 'R03508', 'R03508']",4,"['R03508', 'R02722', 'R02340', 'R03508', 'R02722', 'R02340', 'R03508', 'R02722', 'R02722', 'R02722', 'R02340', 'R03508']",12,Ec
W12,Indole‑3‑glycerol phosphate,Tryptophan Synthase α‑Subunit,4.2.1.20,trpA,Indole + Glyceraldehyde‑3‑phosphate,C00109,Indole is released for the final step.,TRUE,['W13'],['I7'],W,12,1,1,"['R02722', 'R02340', 'R02722', 'R00674', 'R02340', 'R02722', 'R02722', 'R02722', 'R02340', 'R00674']",10,"['R00999', 'R00996', 'R08648', 'R00994', 'R10991', 'R01199', 'R00996', 'R08648', 'R00994', 'R08648', 'R10991', 'R00994', 'R08648', 'R00996', 'R06987', 'R00994', 'R00996', 'R00999', 'R10991', 'R00994', 'R00996', 'R08648']",22,Ec
W13,Indole + Serine,Tryptophan Synthase β‑Subunit,4.2.1.20,trpB,L‑Tryptophan,C00078,Consumes serine as co‑substrate.,TRUE,['W12'],[],W,13,1,0,"['R02722', 'R02340', 'R02722', 'R00674', 'R02340', 'R02722', 'R02722', 'R02722', 'R02340', 'R00674']",10,"['R02722', 'R00673', 'R02722', 'R00674', 'R02722', 'R02722', 'R00673', 'R02722', 'R00674', 'R03664']",10,Ec
S0,PEP,Enolase,4.2.1.11,eno,2‑Phosphoglycerate,C00631,Reverse of a glycolytic reaction.,TRUE,"['G0', 'C0']","['G0', 'C0']",S,0,2,2,"['R00658', 'R00658', 'R00658', 'R00658', 'R00658', 'R00658', 'R00658']",7,"['R01518', 'R00658', 'R08572', 'R08572', 'R00658', 'R01518', 'R08572', 'R01518', 'R00658', 'R08572', 'R01518', 'R00658', 'R01518', 'R00658', 'R00658', 'R01518', 'R01518', 'R08572', 'R00658', 'R01518', 'R01518', 'R08572', 'R08572', 'R01518', 'R01518']",25,Ec
S1,2‑Phosphoglycerate,Phosphoglycerate Mutase,5.4.2.11,gpmA,3‑Phosphoglycerate,C00197,A key glycolytic intermediate.,TRUE,"['G1', 'C1']","['G1', 'C1']",S,1,2,2,"['R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518']",8,"['R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01518', 'R01512', 'R01518', 'R01513', 'R01518', 'R01513', 'R01518', 'R01518', 'R01513']",26,Ec
S2,3‑Phosphoglycerate,Phosphoglycerate Dehydrogenase,1.1.1.95,serA,3‑Phosphohydroxypyruvate (assigned here),C03232,First committed step for serine synthesis.,TRUE,"['G2', 'C2']","['G2', 'C2']",S,2,2,2,"['R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513']",8,"['R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513']",16,Ec
